Period,?깅줉Period,援щ텇,SO_ID,Customer name,Customer PO,Item name,OS name,Expected delivery date,AX Period,AX Project number,Sector,Business registration number,Industry code,Value_Start_qty,Value_Input_qty,Value_Output_qty,Value_Variance_qty,Value_Ending_qty,Value_Start_amount,Value_Input_amount,Value_Output_amount,Value_Variance_amount,Value_Ending_amount
Mar-26,Feb-26,援?궡,SOD-2026-0203,?ㅼ꽦?먯뼱?뚰겕,,SA-05X,SA,2026-03-14 0:00,Feb-26,82-16028.001,CPI,121-08-40402,83,2,0,0,0,2,1000000,0,0,0,1000000
Mar-26,Feb-26,援?궡,SOD-2026-0204,?댁븞而⑦듃濡ㅼ쫰,IAN-2602-0004,NA015,Noah NA,2026-03-14 0:00,Feb-26,82-16029.001,OG,814-01-00158,21,2,0,0,0,2,1776800,0,0,0,1776800
Mar-26,Feb-26,援?궡,SOD-2026-0205,(二??좏뵾??,SA005,SA,2026-03-16 0:00,Feb-26,82-15999.001,CPI,123-86-17453,83,10,0,10,0,0,3000000,0,3000000,0,0,
Mar-26,Feb-26,援?궡,SOD-2026-0207,MT. H肄섑듃濡ㅻ갭釉뚯＜?앺쉶??P20260209009,"NA028(Ver2) PCU+LCU 3-PF3/4""",Noah NA,2026-04-08 0:00,Feb-26,82-16002.001,CPI,603-81-33920,87,1,0,0,0,1,1528000,0,0,0,1528000,
Mar-26,Feb-26,援?궡,SOD-2026-0208,?댁븞而⑦듃濡ㅼ쫰,IAN-2602-0005,NA015,Noah NA,2026-03-14 0:00,Feb-26,82-16003.001,OG,814-01-00158,21,16,0,16,0,0,6112000,0,6112000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0209,?ㅻ갭釉뚭린??二?,P260391 Rev.01,MA01_0.2kW_19RPM_INCHING,MA,2026-05-30 0:00,,,WAPO,130-81-56181,51,76,0,0,0,76,250473000,0,0,0,250473000
Mar-26,Feb-26,援?궡,SOD-2026-0210,?ㅻ갭釉뚭린??二?,P260391 Rev.01,Interface board / CONTROL BOARD,Electric Spares,2026-05-30 0:00,,,WAPO,130-81-56181,51,18,0,0,0,18,2813000,0,0,0,2813000
Mar-26,Feb-26,援?궡,SOD-2026-0211,?곷??먯뼱??二?,2602-17,NA-38,Noah NA,2026-03-09 0:00,Feb-26,82-16035.001,CPI,139-81-40027,80,1,0,1,0,0,845000,0,845000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0212,(二?濡쒕뱶?뚯썙,濡쒕뱶-LPI-250095B,SA05,SA,2026-03-09 0:00,Feb-26,82-16036.001,CPI,131-86-26351,85,1,0,1,0,0,240000,0,240000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0213,MT. H肄섑듃濡ㅻ갭釉뚯＜?앺쉶??P20260223053,NA019 PCU,Noah NA,2026-04-06 0:00,Feb-26,82-16037.001,CPI,603-81-33920,87,1,0,0,0,1,1260000,0,0,0,1260000,
Mar-26,Feb-26,援?궡,SOD-2026-0214,二쇱떇?뚯궗 ?꾩씠?붿뵪肄붾━??I&C KOREA Inc.),INCO-250516-174-R3,FLANGE_ADAPTOR_COUPLER,Electric Spares,2026-03-15 0:00,Feb-26,82-16038.001,CPI,238-87-02400,79,1,0,1,0,0,220000,0,220000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0214,二쇱떇?뚯궗 ?꾩씠?붿뵪肄붾━??I&C KOREA Inc.),INCO-250516-174-R3,SA009L-I,SA,2026-03-15 0:00,Feb-26,82-16038.001,CPI,238-87-02400,79,1,0,1,0,0,680000,0,680000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0215,?숆킅釉뚯씠?뷀떚(V&T),DG0224-1,SA005A,SA,2026-03-10 0:00,Feb-26,82-16004.001,CPI,605-38-89706,87,25,0,25,0,0,3750000,0,3750000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0216,?⑥븻耳?댁뿏吏?덉뼱留?C&K ENG),26022407R0,NA-028 (17*17mm),Noah NA,2026-03-15 0:00,Feb-26,82-16020.001,CPI,678-37-00167,87,2,0,2,0,0,1120000,0,1120000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0216,?⑥븻耳?댁뿏吏?덉뼱留?C&K ENG),26022407R0,SA-003 (AC220V),SA,2026-03-15 0:00,Feb-26,82-16020.001,CPI,678-37-00167,87,6,0,6,0,0,970000,0,970000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0217,?⑥븻耳?댁뿏吏?덉뼱留?C&K ENG),26022408R0,NA-028 (17*17mm),Noah NA,2026-03-15 0:00,Feb-26,82-16021.001,CPI,678-37-00167,87,2,0,2,0,0,1120000,0,1120000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0217,?⑥븻耳?댁뿏吏?덉뼱留?C&K ENG),26022408R0,SA-003 (AC220V),SA,2026-03-15 0:00,Feb-26,82-16021.001,CPI,678-37-00167,87,2,0,2,0,0,315000,0,315000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0218,?⑥븻耳?댁뿏吏?덉뼱留?C&K ENG),26022409R0,NA-028 (17*17mm),Noah NA,2026-03-07 0:00,Feb-26,82-16022.001,CPI,678-37-00167,87,2,0,2,0,0,1120000,0,1120000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0218,?⑥븻耳?댁뿏吏?덉뼱留?C&K ENG),26022409R0,SA-003 (AC220V),SA,2026-03-07 0:00,Feb-26,82-16022.001,CPI,678-37-00167,87,5,0,5,0,0,795000,0,795000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0219,?⑥븻耳?댁뿏吏?덉뼱留?C&K ENG),26022410R0,NA-038 (17*17mm),Noah NA,2026-03-15 0:00,Feb-26,82-16023.001,CPI,678-37-00167,87,2,0,2,0,0,1400000,0,1400000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0219,?⑥븻耳?댁뿏吏?덉뼱留?C&K ENG),26022410R0,SA-05 (11*11mm),SA,2026-03-15 0:00,Feb-26,82-16023.001,CPI,678-37-00167,87,7,0,7,0,0,1220000,0,1220000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0220,?⑥븻耳?댁뿏吏?덉뼱留?C&K ENG),26022411R0,NA-028 (17*17mm),Noah NA,2026-03-15 0:00,Feb-26,82-16025.001,CPI,678-37-00167,87,2,0,2,0,0,1120000,0,1120000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0220,?⑥븻耳?댁뿏吏?덉뼱留?C&K ENG),26022411R0,SA-003 (AC220V),SA,2026-03-15 0:00,Feb-26,82-16025.001,CPI,678-37-00167,87,1,0,1,0,0,115000,0,115000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0221,(二?濡쒕뱶?뚯썙,濡쒕뱶-LPI-250040N,SA05,SA,2026-03-13 0:00,Feb-26,82-16034.001,CPI,131-86-26351,78,8,0,8,0,0,1920000,0,1920000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0222,(二? ?쒓뎅肄붿냼 ?몄쿇怨듭옣,PO26000131,NOS-125,NOD/NOS,2026-06-22 0:00,,,CPI,139-85-05479,85,23,0,0,0,23,17520000,0,0,0,17520000
Mar-26,Feb-26,援?궡,SOD-2026-0223,(二? ?쒓뎅肄붿냼 ?몄쿇怨듭옣,PO26000174,NOS-160,NOD/NOS,2026-06-15 0:00,,,CPI,139-85-05479,85,2,0,0,0,2,1180000,0,0,0,1180000
Mar-26,Feb-26,援?궡,SOD-2026-0224,?щ깹??POVAX),PV-26-AC-P009_2,HA02-435C-C3-DGO,HA,2026-05-18 0:00,,,OG,634-09-01182,21,1,0,0,0,1,8700000,0,0,0,8700000
Mar-26,Feb-26,援?궡,SOD-2026-0226,二쇱떇?뚯궗 臾댁꽦,MU26022501,NA015 ver2,Noah NA,2026-04-07 0:00,,,CPI,621-86-04087,85,3,0,0,0,3,2340000,0,0,0,2340000
Mar-26,Feb-26,援?궡,SOD-2026-0227,(二??ъ뿞?붿??덉뼱留?202602250001,NA038 ALS EXP,Noah NA,2026-03-30 0:00,,,OG,503-81-86321,21,24,0,0,0,24,17370000,0,0,0,17370000,
Mar-26,Feb-26,援?궡,SOD-2026-0230,(二??숈븘?뚮갑,,NA006 with BFV,Noah NA,2026-03-15 0:00,,,CPI,513-81-04990,85,1,0,0,0,1,1020000,0,0,0,1020000
Mar-26,Feb-26,援?궡,SOD-2026-0231,(二??ъ뿞?붿??덉뼱留?202602130001,NA006 ALS,Noah NA,2026-03-11 0:00,,,OG,503-81-86321,21,1,0,0,0,1,341000,0,0,0,341000,
